"Info.1","Determination.start","Ammonium Concentration","Ammonium DL","Ammonium STD","Calcium Concentration","Calcium DL","Calcium STD","Lithium Concentration","Lithium DL","Lithium STD","Magnesium Concentration","Magnesium DL","Magnesium STD","Potassium Concentration","Potassium DL","Potassium STD","Sodium Concentration","Sodium DL","Sodium STD"
"SummerHome11","2025-10-02 20:49:25 UTC-6",3.674,0.00101897237805808,0.0120000000000001,14.608,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.579,0.00132374888100347,0.00749999999999995,1.048,0.00509476694673889,0.025,93.68,0.00239262577428353,0.0140000000000002
"SummerHome11","2025-10-02 21:10:49 UTC-6",3.651,0.00101897237805808,0.0120000000000001,14.593,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.566,0.00132374888100347,0.00749999999999995,1.084,0.00509476694673889,0.025,93.665,0.00239262577428353,0.0140000000000002
"SummerHome12","2025-10-02 21:53:31 UTC-6",3.647,0.00101897237805808,0.0120000000000001,14.147,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.551,0.00132374888100347,0.00749999999999995,1.037,0.00509476694673889,0.025,93.151,0.00239262577428353,0.0140000000000002
"SummerHome13","2025-10-02 22:14:55 UTC-6",3.501,0.00101897237805808,0.0120000000000001,14.317,2.99842324129868e-15,0.0195000000000007,0.002,0.00184723033417592,NA,1.545,0.00132374888100347,0.00749999999999995,1.04,0.00509476694673889,0.025,89.133,0.00239262577428353,0.0140000000000002
"SummerHome14","2025-10-02 22:36:19 UTC-6",3.138,0.00101897237805808,0.0120000000000001,13.647,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.487,0.00132374888100347,0.00749999999999995,1.011,0.00509476694673889,0.025,80.412,0.00239262577428353,0.0140000000000002
"SummerHome15","2025-10-02 22:57:44 UTC-6",2.9,0.00101897237805808,0.0120000000000001,13.655,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.469,0.00132374888100347,0.00749999999999995,0.993,0.00509476694673889,0.025,74.218,0.00239262577428353,0.0140000000000002
"SummerHome16","2025-10-02 23:19:09 UTC-6",2.443,0.00101897237805808,0.0120000000000001,13.043,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.414,0.00132374888100347,0.00749999999999995,0.953,0.00509476694673889,0.025,62.924,0.00239262577428353,0.0140000000000002
"SummerHome17","2025-10-02 23:40:35 UTC-6",1.807,0.00101897237805808,0.0120000000000001,12.566,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.358,0.00132374888100347,0.00749999999999995,0.926,0.00509476694673889,0.025,50.99,0.00239262577428353,0.0140000000000002
"SummerHome18","2025-10-03 00:02:00 UTC-6",0.88,0.00101897237805808,0.0120000000000001,11.617,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.266,0.00132374888100347,0.00749999999999995,0.827,0.00509476694673889,0.025,24.806,0.00239262577428353,0.0140000000000002
"SummerHome19","2025-10-03 00:23:26 UTC-6",0.648,0.00101897237805808,0.0120000000000001,11.338,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.22,0.00132374888100347,0.00749999999999995,0.803,0.00509476694673889,0.025,18.222,0.00239262577428353,0.0140000000000002
"SummerHome20","2025-10-03 00:44:50 UTC-6",0.222,0.00101897237805808,0.0120000000000001,10.853,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.177,0.00132374888100347,0.00749999999999995,0.705,0.00509476694673889,0.025,6.863,0.00239262577428353,0.0140000000000002
"SummerHome21","2025-10-03 01:06:15 UTC-6",0.069,0.00101897237805808,0.0120000000000001,0.052,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.202,0.00132374888100347,0.00749999999999995,0.718,0.00509476694673889,0.025,3.495,0.00239262577428353,0.0140000000000002
"SummerHome22","2025-10-03 01:27:39 UTC-6",0.033,0.00101897237805808,0.0120000000000001,11.369,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.225,0.00132374888100347,0.00749999999999995,0.69,0.00509476694673889,0.025,2.946,0.00239262577428353,0.0140000000000002
"SummerHome","2025-10-03 01:49:03 UTC-6",0.033,0.00101897237805808,0.0120000000000001,11.346,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.215,0.00132374888100347,0.00749999999999995,0.721,0.00509476694673889,0.025,2.941,0.00239262577428353,0.0140000000000002
"SummerHome23","2025-10-03 02:31:45 UTC-6",0.02,0.00101897237805808,0.0120000000000001,11.371,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.218,0.00132374888100347,0.00749999999999995,0.773,0.00509476694673889,0.025,2.813,0.00239262577428353,0.0140000000000002
"Bear24","2025-10-03 02:53:08 UTC-6",0.037,0.00101897237805808,0.0120000000000001,17.11,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.381,0.00132374888100347,0.00749999999999995,0.678,0.00509476694673889,0.025,2.866,0.00239262577428353,0.0140000000000002
"Bear25","2025-10-03 03:14:31 UTC-6",0.117,0.00101897237805808,0.0120000000000001,16.95,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.396,0.00132374888100347,0.00749999999999995,0.719,0.00509476694673889,0.025,5.003,0.00239262577428353,0.0140000000000002
"Bear26","2025-10-03 03:35:54 UTC-6",0.233,0.00101897237805808,0.0120000000000001,16.676,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.426,0.00132374888100347,0.00749999999999995,0.732,0.00509476694673889,0.025,8.117,0.00239262577428353,0.0140000000000002
"Bear27","2025-10-03 03:57:16 UTC-6",0.38,0.00101897237805808,0.0120000000000001,17.184,2.99842324129868e-15,0.0195000000000007,0.001,0.00184723033417592,NA,1.42,0.00132374888100347,0.00749999999999995,0.706,0.00509476694673889,0.025,12.6,0.00239262577428353,0.0140000000000002
"Bear28","2025-10-03 04:18:38 UTC-6",0.455,0.00101897237805808,0.0120000000000001,16.998,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.42,0.00132374888100347,0.00749999999999995,0.763,0.00509476694673889,0.025,13.759,0.00239262577428353,0.0140000000000002
"Bear29","2025-10-03 04:40:00 UTC-6",0.465,0.00101897237805808,0.0120000000000001,17.267,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.439,0.00132374888100347,0.00749999999999995,0.752,0.00509476694673889,0.025,14.14,0.00239262577428353,0.0140000000000002
"Bear30","2025-10-03 05:01:21 UTC-6",0.447,0.00101897237805808,0.0120000000000001,17.176,2.99842324129868e-15,0.0195000000000007,0.001,0.00184723033417592,NA,1.389,0.00132374888100347,0.00749999999999995,0.736,0.00509476694673889,0.025,13.445,0.00239262577428353,0.0140000000000002
"Bear31","2025-10-03 05:22:43 UTC-6",0.389,0.00101897237805808,0.0120000000000001,17.306,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.404,0.00132374888100347,0.00749999999999995,0.744,0.00509476694673889,0.025,12.066,0.00239262577428353,0.0140000000000002
"Bear32","2025-10-03 05:44:03 UTC-6",0.335,0.00101897237805808,0.0120000000000001,16.737,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.402,0.00132374888100347,0.00749999999999995,0.757,0.00509476694673889,0.025,10.61,0.00239262577428353,0.0140000000000002
"Bear33","2025-10-03 06:05:24 UTC-6",0.28,0.00101897237805808,0.0120000000000001,17.29,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.392,0.00132374888100347,0.00749999999999995,0.699,0.00509476694673889,0.025,9.127,0.00239262577428353,0.0140000000000002
"Bear33","2025-10-03 06:26:44 UTC-6",0.281,0.00101897237805808,0.0120000000000001,17.266,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.39,0.00132374888100347,0.00749999999999995,0.713,0.00509476694673889,0.025,9.14,0.00239262577428353,0.0140000000000002
"Bear34","2025-10-03 07:09:23 UTC-6",0.208,0.00101897237805808,0.0120000000000001,16.358,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.399,0.00132374888100347,0.00749999999999995,0.734,0.00509476694673889,0.025,7.032,0.00239262577428353,0.0140000000000002
"Bear35","2025-10-03 07:30:44 UTC-6",0.137,0.00101897237805808,0.0120000000000001,16.91,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.388,0.00132374888100347,0.00749999999999995,0.775,0.00509476694673889,0.025,5.198,0.00239262577428353,0.0140000000000002
"Bear36","2025-10-03 07:52:03 UTC-6",0.092,0.00101897237805808,0.0120000000000001,17.066,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.401,0.00132374888100347,0.00749999999999995,0.708,0.00509476694673889,0.025,3.965,0.00239262577428353,0.0140000000000002
"Bear37","2025-10-03 08:13:23 UTC-6",0.069,0.00101897237805808,0.0120000000000001,16.856,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.382,0.00132374888100347,0.00749999999999995,0.721,0.00509476694673889,0.025,3.393,0.00239262577428353,0.0140000000000002
"Bear38","2025-10-03 08:34:41 UTC-6",0.041,0.00101897237805808,0.0120000000000001,16.743,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.393,0.00132374888100347,0.00749999999999995,0.731,0.00509476694673889,0.025,2.945,0.00239262577428353,0.0140000000000002
"Bear39","2025-10-03 08:56:00 UTC-6",0.039,0.00101897237805808,0.0120000000000001,16.961,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.383,0.00132374888100347,0.00749999999999995,0.694,0.00509476694673889,0.025,2.611,0.00239262577428353,0.0140000000000002
"Bear40","2025-10-03 09:17:19 UTC-6",0.037,0.00101897237805808,0.0120000000000001,17.117,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.395,0.00132374888100347,0.00749999999999995,0.691,0.00509476694673889,0.025,2.514,0.00239262577428353,0.0140000000000002
"Bear41","2025-10-03 09:38:37 UTC-6",0.027,0.00101897237805808,0.0120000000000001,16.95,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.381,0.00132374888100347,0.00749999999999995,0.697,0.00509476694673889,0.025,2.398,0.00239262577428353,0.0140000000000002
